Model,MAE,MSE,R2 Score
Random Forest,11.00565158835415,258.48003349842236,-0.24495661888922698
XGBoost,13.07505135140768,336.0579781177513,-0.8321567599898361
Linear Regression,32.71537922200032,1440.6727158416652,-8.14551045614202
