Date,Adj Close,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,RSI,MACD,Close_Lag_1,Close_Lag_2,Close_Lag_3,Volume_Lag_1,Daily_Return
2020-02-07,77.25636291503906,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000,79.4640007019043,79.19562530517578,79.63123836121387,56.00163395491276,0.9704208201534072,81.30249786376953,80.36250305175781,79.7125015258789,105425600.0,-0.015928147387491265
2020-02-10,77.623291015625,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800,79.77900009155273,79.33587532043457,79.76873992249175,57.25876625608167,0.9703605119942154,80.00749969482422,81.30249786376953,80.36250305175781,117684000.0,0.0047495204183034545
2020-02-11,77.15499114990234,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200,79.82699966430664,79.36900024414062,79.79305927074608,55.09503455686912,0.9205655151805416,80.38749694824219,80.00749969482422,81.30249786376953,109348800.0,-0.006033284139495332
2020-02-12,78.98723602294922,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400,79.89850006103515,79.55050048828124,80.15795814002094,61.2626470760589,1.0224296228836778,79.90249633789062,80.38749694824219,80.00749969482422,94323200.0,0.023747777614394394
2020-02-13,78.42475128173828,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600,79.92350006103516,79.71962547302246,80.35060189261655,58.60171658645865,1.0441184875501222,81.80000305175781,79.90249633789062,80.38749694824219,113730400.0,-0.007121078859769314
2020-02-14,78.44407653808594,81.23750305175781,81.49500274658203,80.7125015258789,81.18499755859375,80113600,80.30950012207032,79.84100074768067,80.51185664882405,58.66811097194841,1.0508081840229977,81.21749877929688,81.80000305175781,79.90249633789062,94747600.0,0.0002463049559713326
2020-02-18,77.0077133178711,79.75,79.9375,78.65249633789062,78.83999633789062,152531200,80.56800003051758,79.84437561035156,80.37333725812876,51.990885733617,0.9254131650621105,81.23750305175781,81.21749877929688,81.80000305175781,80113600.0,-0.018310546187148335
2020-02-19,78.12300109863281,80.90499877929688,81.14250183105469,80.0,80.0,93984000,80.68724975585937,79.93250045776367,80.47000298925023,56.162885052430774,0.9087598401214336,79.75,81.23750305175781,81.21749877929688,152531200.0,0.014482743314067292
2020-02-20,77.32154083251953,80.07499694824219,81.1624984741211,79.55249786376953,80.65750122070312,100566000,80.65849914550782,79.96500015258789,80.39818370906696,52.62384619818596,0.8191451535439143,80.90499877929688,79.75,81.23750305175781,93984000.0,-0.010258968463974338
2020-02-21,75.57136535644531,78.26249694824219,80.11250305175781,77.625,79.65499877929688,129554000,80.35449905395508,79.8877498626709,80.00987702528062,45.8319926965515,0.5950123346749905,80.07499694824219,80.90499877929688,79.75,100566000.0,-0.02263503052234317
2020-02-24,71.98170471191406,74.54499816894531,76.04499816894531,72.30750274658203,74.31500244140625,222195200,79.8082489013672,79.63612480163575,79.0162626877651,35.66476422421867,0.11607632228763975,78.26249694824219,80.07499694824219,80.90499877929688,129554000.0,-0.047500385551912494
2020-02-25,69.54351806640625,72.0199966430664,75.63249969482422,71.53250122070312,75.23750305175781,230673600,78.97149887084962,79.37524948120117,77.7442143160017,30.68552596250973,-0.46190587549095596,74.54499816894531,78.26249694824219,80.07499694824219,222195200.0,-0.033872179058296537
2020-02-26,70.64673614501953,73.1624984741211,74.47000122070312,71.625,71.63249969482422,198054800,78.29749908447266,79.06224937438965,76.91117507202341,35.100658873753815,-0.8183372989029749,72.0199966430664,74.54499816894531,78.26249694824219,230673600.0,0.015863675150069367
2020-02-27,66.0286865234375,68.37999725341797,71.5,68.23999786376953,70.2750015258789,320605600,76.95549850463867,78.42699928283692,75.36005183227697,27.27014637642533,-1.4697769753200163,73.1624984741211,72.0199966430664,74.54499816894531,198054800.0,-0.06536820530254006
2020-02-28,65.99006652832031,68.33999633789062,69.60250091552734,64.09249877929688,64.31500244140625,426510000,75.66774826049804,77.79562416076661,74.0836781060249,27.21545862074538,-1.9666055472521293,68.37999725341797,73.1624984741211,72.0199966430664,320605600.0,-0.0005849797767482068
